Trade History Report,,,,,,,,,,,,,,
Name:,,,Chavdar Tzvetkov,,,,,,,,,,,
Account:,,,"7664508 (USD, BenchMark-Server, demo, Hedge)",,,,,,,,,,,
Company:,,,BenchMark Finance AD,,,,,,,,,,,
Date:,,,2026.03.28 10:47,,,,,,,,,,,
Positions,,,,,,,,,,,,,,
Time,Position,Symbol,Type,Volume,Price,S / L,T / P,Time,Price,Commission,Swap,Profit,,
2026.03.27 13:07:22,19681709,GBPUSD,buy,out,0.35, 1.33010,81995813,0.00,0.00,0.00, 46.90,6 101.78,,
2026.03.27 13:07:24,19681710,USDCHF,buy,in,0.35, 0.79746,81995814,0.00,0.00,0.00,0.00,6 101.78,MM BUY 032713072,
2026.03.27 13:07:24,19681711,GBPUSD,sell,in,0.35, 1.33000,81995815,0.00,0.00,0.00,0.00,6 101.78,MM SELL 03271307,
2026.03.27 14:34:49,19682477,GBPUSD,buy,out,0.35, 1.32732,81996585,0.00,0.00,0.00, 93.80,6 195.58,[tp 1.32734],
2026.03.27 14:34:51,19682479,GBPUSD,sell,in,0.35, 1.32717,81996586,0.00,0.00,0.00,0.00,6 195.58,MM SELL 03271434,
2026.03.27 15:20:58,19682971,USDCHF,sell,out,0.35, 0.79625,81997113,0.00,0.00,0.00,- 53.19,6 142.39,[sl 0.79626],
2026.03.27 15:30:10,19683077,GBPUSD,buy,out,0.35, 1.32916,81997220,0.00,0.00,0.00,- 69.65,6 072.74,[sl 1.32916],
2026.03.27 17:57:02,19685364,USDCHF,buy,in,0.35, 0.79704,81999547,0.00,0.00,0.00,0.00,6 072.74,MM BUY 032717570,
2026.03.27 18:50:56,19686113,GBPUSD,sell,in,0.35, 1.32841,82000306,0.00,0.00,0.00,0.00,6 072.74,MM SELL 03271850,
2026.03.27 20:41:01,19687372,USDCHF,sell,out,0.35, 0.79822,82001579,0.00,0.00,0.00, 51.74,6 124.48,,
2026.03.27 20:41:02,19687373,GBPUSD,buy,out,0.35, 1.32699,82001580,0.00,0.00,0.00, 49.70,6 174.18,,
2026.03.27 20:41:03,19687374,USDCHF,buy,in,0.35, 0.79833,82001581,0.00,0.00,0.00,0.00,6 174.18,MM BUY 032720410,
2026.03.27 20:41:06,19687375,USDCHF,sell,out,0.35, 0.79824,82001582,0.00,0.00,0.00,- 3.95,6 170.23,,
,,,,,,,,0.00,0.00,0.00, 165.37,6 170.23,,
Balance:,,,6 170.23,,,Free Margin:,,,6 170.23,,,,,
Credit Facility:,,,0.00,,,Margin:,,,0.00,,,,,
Floating P/L:,,,0.00,,,Margin Level:,,,0.00%,,,,,
Equity:,,,6 170.23,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Total Net Profit:,,, 165.37,Gross Profit:,,, 292.16,Gross Loss:,,,- 126.79,,,
Profit Factor:,,, 2.30,Expected Payoff:,,, 16.54,,,,,,,
Recovery Factor:,,, 1.35,Sharpe Ratio:,,, 0.36,,,,,,,
Balance Drawdown:,,,,,,,,,,,,,,
Balance Drawdown Absolute:,,,0.00,Balance Drawdown Maximal:,,,122.84 (1.98%),Balance Drawdown Relative:,,,1.98% (122.84),,,
Total Trades:,,, 10,Short Trades (won %):,,,5 (80.00%),Long Trades (won %):,,,5 (60.00%),,,
,,,,Profit Trades (% of total):,,,7 (70.00%),Loss Trades (% of total):,,,3 (30.00%),,,
,,,,Largest profit trade:,,, 93.80,Largest loss trade:,,,- 69.65,,,
,,,,Average profit trade:,,, 41.74,Average loss trade:,,,- 42.26,,,
,,,,Maximum consecutive wins ($):,,,5 (190.72),Maximum consecutive losses ($):,,,2 (-122.84),,,
,,,,Maximal consecutive profit (count):,,,190.72 (5),Maximal consecutive loss (count):,,,-122.84 (2),,,
,,,,Average consecutive wins:,,, 4,Average consecutive losses:,,, 2,,,
